student_id,cgpa,ug_branch,projects_count,internships_count,skills,area_of_interest,career_goal,chosen_masters_program,program_id,field,duration_years,example_universities,region,category
STU001,8.16,EEE,3,2,Cloud Computing|SQL|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU014,8.37,CSE,3,1,C++|Cybersecurity|DevOps,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU015,7.75,CSE,3,2,Data Visualization|Deep Learning|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU016,8.35,Mathematics,7,3,Cybersecurity|Data Visualization|Deep Learning|Machine Learning|Python|SQL,Artificial Intelligence,Research Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU017,8.9,CSE,5,1,Cloud Computing|DevOps|Java|Python|Web Development,Artificial Intelligence,ML Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU018,7.97,CSE,6,3,Data Visualization|Python|SQL,Data Science & Analytics,Data Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU019,7.86,IT,3,1,Cloud Computing|Cybersecurity|DevOps|Java|SQL|Web Development,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU020,7.93,ECE,4,0,C++|Cybersecurity|DevOps|Python,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU021,8.14,ECE,4,0,DevOps|Java|Python,Software Development,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU022,8.35,ECE,5,1,Cloud Computing|Python|UI/UX Design,Software Development,Cloud Architect,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU023,7.54,IT,4,1,C++|Cloud Computing|Cybersecurity|Java|Python|SQL,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU024,9.47,CSE,9,2,C++|Java|Machine Learning|Python|UI/UX Design,Cloud & DevOps,Software Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU025,7.48,CSE,5,1,Data Visualization|Java|SQL,Artificial Intelligence,ML Engineer,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU026,8.92,IT,4,2,Cloud Computing|Data Visualization|DevOps|Python,Software Development,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU027,7.81,CSE,4,1,Cloud Computing|DevOps|Python|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU028,8.37,CSE,6,2,Cloud Computing|Data Visualization|Java|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU029,7.51,IT,6,2,C++|DevOps|Python|Web Development,Software Development,Cloud Architect,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU030,7.68,CSE,3,3,Cloud Computing|Java|UI/UX Design|Web Development,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU031,7.03,CSE,5,2,Java|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU032,7.26,CSE,3,2,Java|Machine Learning|Python|Web Development,Product & UX Design,UX Designer,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU033,8.18,ECE,6,0,Cloud Computing|DevOps|Python,Cloud & DevOps,Security Analyst,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU034,9.05,IT,4,2,C++|Cloud Computing|Cybersecurity|DevOps|Java|Python,Cloud & DevOps,Cloud Architect,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU035,8.93,ECE,4,0,C++|Cloud Computing|Cybersecurity|Deep Learning|Java|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU036,7.53,IT,2,2,Cloud Computing|Machine Learning|SQL|Web Development,Cloud & DevOps,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU037,7.62,Mechanical,4,3,C++|Cloud Computing|Data Visualization|Python|SQL|Web Development,Data Science & Analytics,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU038,8.2,IT,2,2,Cloud Computing|Java|Python|SQL|Web Development,Software Development,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU039,7.63,IT,5,3,Data Visualization|Deep Learning|DevOps|Machine Learning|Python|SQL,Data Science & Analytics,Research Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU040,9.01,ECE,6,4,C++|Java|Machine Learning|Python,Artificial Intelligence,Software Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU041,8.5,ECE,4,3,Cloud Computing|Data Visualization|Java|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU042,7.41,IT,4,3,Cloud Computing|Data Visualization|DevOps|Java|SQL|Web Development,Software Development,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU043,7.93,CSE,4,2,Cloud Computing|DevOps|Java|Machine Learning|SQL|Web Development,Software Development,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU044,7.87,CSE,2,3,Cybersecurity|DevOps|Python,Cloud & DevOps,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU045,8.15,CSE,4,2,Cloud Computing|Deep Learning|Java|Python|Web Development,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU046,7.33,IT,5,0,C++|Cloud Computing|Cybersecurity|DevOps|Java|Python,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU047,9.02,Mathematics,5,2,Data Visualization|Deep Learning|Machine Learning|Python|UI/UX Design,Artificial Intelligence,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU048,8.89,CSE,8,3,Data Visualization|Machine Learning|Python|Web Development,Artificial Intelligence,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU049,9.42,Statistics,7,1,Data Visualization|Java|Machine Learning|Python,Data Science & Analytics,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU050,7.78,IT,2,1,Java|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU051,7.68,ECE,6,1,C++|Cloud Computing|Cybersecurity|DevOps|Java|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU052,8.05,IT,4,2,C++|DevOps|Java|Machine Learning,Cloud & DevOps,Research Scientist,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU053,6.78,CSE,4,1,Cybersecurity|Java|Python|SQL|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU054,7.48,IT,4,3,Cybersecurity|Java|Python|SQL|Web Development,Cloud & DevOps,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU055,7.14,IT,4,1,C++|Cybersecurity|Python,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU056,7.3,IT,3,2,C++|Cloud Computing|Cybersecurity|Java|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU057,8.43,IT,4,2,Data Visualization|Deep Learning|Machine Learning|Python|SQL|Web Development,Artificial Intelligence,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU058,6.9,IT,3,3,Data Visualization|Machine Learning|SQL,Artificial Intelligence,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU059,7.8,Mechanical,2,3,Data Visualization|Machine Learning|Python|SQL,Data Science & Analytics,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU060,7.73,CSE,4,2,Deep Learning|DevOps|Java|Python|Web Development,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU061,7.88,Mechanical,2,1,Cybersecurity|Data Visualization|Python|SQL|Web Development,Data Science & Analytics,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU062,7.93,CSE,5,2,Cloud Computing|Data Visualization|Java|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU063,7.82,Statistics,6,3,Machine Learning|SQL|Web Development,Data Science & Analytics,Business Analyst,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU064,7.84,CSE,4,2,Cloud Computing|Data Visualization|DevOps|Java|SQL|Web Development,Cloud & DevOps,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU065,8.42,Statistics,5,3,Data Visualization|Python|SQL,Artificial Intelligence,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU066,7.92,EEE,3,2,Data Visualization|Python|SQL|Web Development,Data Science & Analytics,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU067,8.27,Mathematics,6,2,Cloud Computing|Data Visualization|Deep Learning|Machine Learning|Python|SQL,Artificial Intelligence,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU068,8.16,CSE,5,2,Cybersecurity|Machine Learning|SQL,Artificial Intelligence,Business Analyst,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU069,7.31,IT,3,3,Data Visualization|Deep Learning|Python|SQL|UI/UX Design|Web Development,Data Science & Analytics,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU070,8.31,CSE,3,2,C++|Cloud Computing|SQL|UI/UX Design,Artificial Intelligence,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU071,8.03,CSE,4,1,Deep Learning|DevOps|Java|Python|SQL|Web Development,Software Development,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU072,7.86,Mathematics,0,0,Data Visualization|Deep Learning|DevOps|Machine Learning|Python|SQL,Data Science & Analytics,Business Analyst,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU073,8.31,CSE,4,2,Data Visualization|Deep Learning|Java|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU074,9.27,CSE,6,2,Cybersecurity|Data Visualization|Deep Learning|Machine Learning|Python|SQL,Data Science & Analytics,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU075,7.54,IT,6,2,Cybersecurity|Java|Machine Learning|Python|UI/UX Design|Web Development,Software Development,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU076,7.71,ECE,4,2,Cybersecurity|Java|Python|UI/UX Design,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU077,7.48,ECE,5,3,Cloud Computing|Python|UI/UX Design|Web Development,Product & UX Design,UX Designer,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU078,9.04,Statistics,4,2,C++|Deep Learning|Machine Learning,Artificial Intelligence,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU079,8.11,Mathematics,5,1,Cybersecurity|Data Visualization|Machine Learning|Python|SQL,Data Science & Analytics,Research Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU080,8.46,ECE,4,3,C++|Cloud Computing|DevOps|Java|Python|Web Development,Artificial Intelligence,Software Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU081,7.52,CSE,6,1,Data Visualization|Java|Python,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU082,7.34,CSE,5,2,Deep Learning|Java|Python|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU083,9.33,Mathematics,4,2,Deep Learning|Machine Learning|Python,Artificial Intelligence,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU084,8.44,ECE,4,3,Cloud Computing|Java|UI/UX Design,Software Development,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU085,7.95,Statistics,6,2,C++|Data Visualization|Deep Learning|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU086,7.17,IT,5,2,DevOps|Java|UI/UX Design,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU087,8.25,ECE,5,1,C++|Cloud Computing|DevOps|Java|Python|SQL,Cloud & DevOps,Cloud Architect,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU088,8.88,CSE,3,3,Data Visualization|Deep Learning|Machine Learning|Python|SQL|UI/UX Design,Artificial Intelligence,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU089,7.6,IT,4,2,DevOps|Java|Web Development,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU090,9.47,ECE,4,1,C++|Cloud Computing|Java|Python,Cybersecurity,Security Analyst,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU091,9.33,CSE,4,1,DevOps|Machine Learning|Python,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU092,7.8,Mathematics,4,2,Cybersecurity|Data Visualization|SQL,Data Science & Analytics,ML Engineer,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU093,9.01,Statistics,6,2,Cybersecurity|Data Visualization|Deep Learning,Artificial Intelligence,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU094,7.85,CSE,1,1,Cybersecurity|DevOps|Java|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU095,7.46,IT,5,1,Cloud Computing|Cybersecurity|Deep Learning|Java,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU096,8.51,CSE,3,2,Data Visualization|Machine Learning|Python|SQL|Web Development,Artificial Intelligence,Business Analyst,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU097,8.61,CSE,5,2,C++|Java|Python|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU098,7.27,IT,3,0,Cloud Computing|Python|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU099,7.79,Mathematics,4,2,Data Visualization|Deep Learning|Machine Learning|Python|SQL,Data Science & Analytics,ML Engineer,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU100,8.32,Mathematics,4,2,C++|Machine Learning|Python,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU101,8.14,CSE,6,1,Data Visualization|Deep Learning|Python|SQL,Artificial Intelligence,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU102,8.52,Mathematics,3,1,Machine Learning|Python|SQL|Web Development,Artificial Intelligence,Business Analyst,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU103,7.77,Mathematics,3,2,Cybersecurity|Data Visualization|Machine Learning|Python,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU104,7.88,Mathematics,5,3,C++|Data Visualization|DevOps|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU105,7.14,IT,5,3,Cloud Computing|Java|Python|UI/UX Design|Web Development,Software Development,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU106,7.78,IT,2,1,DevOps|Java|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU107,9.6,CSE,6,2,Cloud Computing|Machine Learning|Web Development,Software Development,ML Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU108,7.38,CSE,3,3,DevOps|Machine Learning|SQL|Web Development,Software Development,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU109,7.44,ECE,3,2,DevOps|Java|Python|UI/UX Design|Web Development,Software Development,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU110,7.28,ECE,3,1,Data Visualization|Java|Python|SQL|UI/UX Design|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU111,8.09,ECE,4,0,C++|Cloud Computing|Java|Machine Learning,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU112,8.05,IT,2,2,DevOps|Python|UI/UX Design,Cybersecurity,Security Analyst,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU113,8.27,Statistics,4,3,C++|Machine Learning|Python,Data Science & Analytics,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU114,7.68,ECE,4,2,Cloud Computing|Cybersecurity|Python,Cybersecurity,Software Engineer,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
STU115,7.63,CSE,3,3,Data Visualization|Deep Learning|Java|Machine Learning|Python|SQL,Artificial Intelligence,ML Engineer,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU116,8.51,Mathematics,4,3,Data Visualization|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU117,7.89,IT,5,1,C++|Data Visualization|Machine Learning|SQL,Artificial Intelligence,Data Scientist,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU118,8.09,IT,3,3,C++|Cloud Computing|DevOps|Java|SQL|Web Development,Cloud & DevOps,Research Scientist,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU119,8.25,Mathematics,4,1,Data Visualization|Machine Learning|Python|SQL,Data Science & Analytics,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU120,8.08,CSE,4,1,Data Visualization|Deep Learning|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU121,7.99,IT,5,3,Cloud Computing|DevOps|Java|Python|SQL|Web Development,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU122,7.89,Statistics,7,2,Machine Learning|SQL|Web Development,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU123,6.99,CSE,4,2,Cloud Computing|Python|UI/UX Design,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU124,8.45,Mathematics,5,3,Cloud Computing|Data Visualization|Deep Learning|Machine Learning|Python|SQL,Artificial Intelligence,ML Engineer,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU125,8.55,CSE,4,1,C++|Cloud Computing|Web Development,Cloud & DevOps,Research Scientist,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
